state,date,positive cases,negative cases
New York,2020-05-02,312977,646094
Texas,2020-05-02,30522,350126
Washington,2020-05-02,16802,195619
Florida,2020-05-01,34728,367971
Georgia,2020-05-01,27270,141097
New York,2020-05-01,308314,619124
Texas,2020-05-01,29229,322546
Washington,2020-05-01,16653,193449
Florida,2020-04-30,33690,348715
Georgia,2020-04-30,26155,122889
New York,2020-04-30,304372,596264
Texas,2020-04-30,28087,302213
Washington,2020-04-30,16309,189001
Florida,2020-04-29,33193,340295
Georgia,2020-04-29,25572,118367
New York,2020-04-29,299691,572790
Texas,2020-04-29,27054,287736
Washington,2020-04-29,16042,184386
Florida,2020-04-28,32846,334029
Georgia,2020-04-28,24615,115405
New York,2020-04-28,295106,549888
Texas,2020-04-28,26171,274213
Washington,2020-04-28,15798,179707
Florida,2020-04-27,32138,324325
Georgia,2020-04-27,23913,103256
New York,2020-04-27,291996,534099
Texas,2020-04-27,25297,265220
Washington,2020-04-27,15566,174592
Florida,2020-04-26,31528,313085
Georgia,2020-04-26,23401,99822
New York,2020-04-26,288045,517305
Texas,2020-04-26,24631,251390
Washington,2020-04-26,15292,169749
Florida,2020-04-25,30839,302260
Georgia,2020-04-25,22695,96319
New York,2020-04-25,282143,495425
Texas,2020-04-25,23773,239043
Washington,2020-04-25,15110,168153
Florida,2020-04-24,30174,286785
Georgia,2020-04-24,22147,85029
New York,2020-04-24,271590,459066
Texas,2020-04-24,22806,219741
Washington,2020-04-24,14913,165339
Florida,2020-04-23,28832,267876
Georgia,2020-04-23,21512,79550
New York,2020-04-23,263460,432460
Texas,2020-04-23,21944,203134
Washington,2020-04-23,14628,160115
Florida,2020-04-22,28309,260318
Georgia,2020-04-22,20740,73332
New York,2020-04-22,257216,412766
Texas,2020-04-22,21069,195714
Washington,2020-04-22,14375,156030
Florida,2020-04-21,27495,249564
Georgia,2020-04-21,19881,68259
New York,2020-04-21,251690,397635
Texas,2020-04-21,20196,185203
Washington,2020-04-21,14133,151848
Florida,2020-04-20,26660,239565
Georgia,2020-04-20,18947,65381
New York,2020-04-20,247512,386349
Texas,2020-04-20,19458,170936
Washington,2020-04-20,13890,147889
Florida,2020-04-19,25996,230083
Georgia,2020-04-19,18301,61632
New York,2020-04-19,242786,374769
Texas,2020-04-19,18923,163787
Washington,2020-04-19,13583,143808
Florida,2020-04-18,25269,221258
Georgia,2020-04-18,17669,56539
New York,2020-04-18,236732,359800
Texas,2020-04-18,18260,157979
Washington,2020-04-18,13407,142307
Florida,2020-04-17,24119,210718
Georgia,2020-04-17,17194,54490
New York,2020-04-17,229642,343581
Texas,2020-04-17,17371,152165
Washington,2020-04-17,13174,140294
Florida,2020-04-16,22897,196351
Georgia,2020-04-16,15669,52270
New York,2020-04-16,222284,328295
Texas,2020-04-16,16455,142092
Washington,2020-04-16,12872,136144
Florida,2020-04-15,22511,190998
Georgia,2020-04-15,14987,49103
New York,2020-04-15,213779,312233
Texas,2020-04-15,15492,136318
Washington,2020-04-15,12619,132049
Florida,2020-04-14,21367,181813
Georgia,2020-04-14,14223,47572
New York,2020-04-14,202208,296935
Texas,2020-04-14,14624,131843
Washington,2020-04-14,12303,128219
Florida,2020-04-13,20601,175606
Georgia,2020-04-13,13315,43706
New York,2020-04-13,195031,283326
Texas,2020-04-13,13906,119320
Washington,2020-04-13,12079,124134
Florida,2020-04-12,19355,163398
Georgia,2020-04-12,12452,42001
New York,2020-04-12,188694,272907
Texas,2020-04-12,13484,111049
Washington,2020-04-12,11775,120218
Florida,2020-04-11,18494,154439
Georgia,2020-04-11,12159,39556
New York,2020-04-11,180458,260522
Texas,2020-04-11,12561,107972
Washington,2020-04-11,11605,118957
Florida,2020-04-10,17531,145299
Georgia,2020-04-10,11483,34664
New York,2020-04-10,170512,247373
Texas,2020-04-10,11671,104047
Washington,2020-04-10,11395,117091
Florida,2020-04-09,16364,136185
Georgia,2020-04-09,10566,30519
New York,2020-04-09,159937,231612
Texas,2020-04-09,10230,95904
Washington,2020-04-09,11118,113069
Florida,2020-04-08,15455,127679
Georgia,2020-04-08,9901,28886
New York,2020-04-08,149316,215837
Texas,2020-04-08,9353,86905
Washington,2020-04-08,10831,109050
Florida,2020-04-07,14747,123415
Georgia,2020-04-07,8818,24895
New York,2020-04-07,138863,201195
Texas,2020-04-07,8262,80387
Washington,2020-04-07,10547,104530
Florida,2020-04-06,13324,109950
Georgia,2020-04-06,7314,23960
New York,2020-04-06,130689,190122
Texas,2020-04-06,7276,78081
Washington,2020-04-06,10282,99566
Florida,2020-04-05,12151,101253
Georgia,2020-04-05,6647,21185
New York,2020-04-05,122031,180249
Texas,2020-04-05,6812,64126
Washington,2020-04-05,9953,94759
Florida,2020-04-04,11111,90956
Georgia,2020-04-04,6160,20134
New York,2020-04-04,113704,169917
Texas,2020-04-04,6110,57641
Washington,2020-04-04,9732,93028
Florida,2020-04-03,9585,82137
Georgia,2020-04-03,5831,19434
New York,2020-04-03,102863,157657
Texas,2020-04-03,5330,50434
Washington,2020-04-03,9485,90661
Florida,2020-04-02,8010,69286
Georgia,2020-04-02,5348,17609
New York,2020-04-02,92381,146584
Texas,2020-04-02,4669,46010
Washington,2020-04-02,9201,86091
Florida,2020-04-01,6955,59529
Georgia,2020-04-01,4638,15688
New York,2020-04-01,83712,137168
Texas,2020-04-01,3997,43860
Washington,2020-04-01,8869,81516
Florida,2020-03-31,6338,54285
Georgia,2020-03-31,3929,12252
New York,2020-03-31,75795,129391
Texas,2020-03-31,3266,39726
Washington,2020-03-31,8431,77237
Florida,2020-03-30,5473,48225
Georgia,2020-03-30,2809,9915
New York,2020-03-30,66497,119971
Texas,2020-03-30,2877,33003
Washington,2020-03-30,8120,72842
Florida,2020-03-29,4246,39070
Georgia,2020-03-29,2651,9913
New York,2020-03-29,59513,112847
Texas,2020-03-29,2552,23208
Washington,2020-03-29,7715,68097
Florida,2020-03-28,3763,35366
Georgia,2020-03-28,2366,8685
New York,2020-03-28,52318,103616
Texas,2020-03-28,2052,23208
Washington,2020-03-28,7397,66582
Florida,2020-03-27,2765,28186
Georgia,2020-03-27,2001,7864
New York,2020-03-27,44635,101118
Texas,2020-03-27,1731,21935
Washington,2020-03-27,7076,64302
Florida,2020-03-26,2355,23741
Georgia,2020-03-26,1525,7401
New York,2020-03-26,37258,84846
Texas,2020-03-26,1396,20028
Washington,2020-03-26,6700,60318
Florida,2020-03-25,1682,15374
Georgia,2020-03-25,1247,4932
New York,2020-03-25,30811,72668
Texas,2020-03-25,974,12520
Washington,2020-03-25,6329,56218
Florida,2020-03-24,1412,13127
Georgia,2020-03-24,1026,4458
New York,2020-03-24,25665,65605
Texas,2020-03-24,410,10757
Washington,2020-03-24,5923,51617
Florida,2020-03-23,1171,11063
Georgia,2020-03-23,772,4297
New York,2020-03-23,20875,57414
Texas,2020-03-23,352,9703
Washington,2020-03-23,5568,46745
Florida,2020-03-22,830,7990
Georgia,2020-03-22,600,3420
New York,2020-03-22,15168,46233
Texas,2020-03-22,334,8422
Washington,2020-03-22,5121,41889
Florida,2020-03-21,658,6579
Georgia,2020-03-21,507,2557
New York,2020-03-21,10356,35081
Texas,2020-03-21,304,6218
Washington,2020-03-21,4837,40285
Florida,2020-03-20,520,1870
Georgia,2020-03-20,420,1966
New York,2020-03-20,7102,25325
Texas,2020-03-20,194,5083
Washington,2020-03-20,4551,38229
Florida,2020-03-19,390,1533
Georgia,2020-03-19,287,1544
New York,2020-03-19,4152,18132
Texas,2020-03-19,143,2212
Washington,2020-03-19,4146,34573
Florida,2020-03-18,314,1225
Georgia,2020-03-18,197,1311
New York,2020-03-18,2382,12215
Texas,2020-03-18,83,1824
Washington,2020-03-18,3810,30359
Florida,2020-03-17,186,940
New York,2020-03-17,1700,5506
Texas,2020-03-17,64,1204
Washington,2020-03-17,3432,25997
Florida,2020-03-16,141,684
New York,2020-03-16,950,4543
Washington,2020-03-16,3107,21684
Florida,2020-03-15,116,678
New York,2020-03-15,729,4543
Washington,2020-03-15,2738,17158
Florida,2020-03-14,77,478
New York,2020-03-14,524,2779
Washington,2020-03-14,2484,15723
Florida,2020-03-13,50,478
New York,2020-03-13,421,2779
Washington,2020-03-13,2218,13660
Florida,2020-03-12,32,301
New York,2020-03-12,216,92
Washington,2020-03-12,1921,9723
Florida,2020-03-11,28,301
New York,2020-03-11,216,92
Washington,2020-03-11,1665,6215
Florida,2020-03-10,19,222
New York,2020-03-10,173,92
Washington,2020-03-10,1453,4160
Florida,2020-03-09,18,140
New York,2020-03-09,142,92
Washington,2020-03-09,1237,2592
Florida,2020-03-08,17,118
New York,2020-03-08,105,92
Washington,2020-03-08,1065,1740
Florida,2020-03-07,14,100
New York,2020-03-07,76,92
Washington,2020-03-07,912,1370
Florida,2020-03-06,9,55
New York,2020-03-06,33,92
Washington,2020-03-06,813,1066
Florida,2020-03-05,9,31
New York,2020-03-05,22,76
Washington,2020-03-05,731,672
Florida,2020-03-04,2,24
New York,2020-03-04,6,48
Washington,2020-03-04,626,417
Washington,2020-03-03,534,264
Washington,2020-03-02,450,123
Washington,2020-03-01,377,12
Washington,2020-02-29,299,17
Washington,2020-02-28,275,0
Washington,2020-02-27,235,0
Washington,2020-02-26,208,0
Washington,2020-02-25,179,0
Washington,2020-02-24,148,0
Washington,2020-02-23,122,0
Washington,2020-02-22,106,0
Washington,2020-02-21,93,0
Washington,2020-02-20,82,0
Washington,2020-02-19,69,0
Washington,2020-02-18,59,0
Washington,2020-02-17,50,0
Washington,2020-02-16,35,0
Washington,2020-02-15,28,0
Washington,2020-02-14,21,0
Washington,2020-02-13,18,0
Washington,2020-02-12,18,0
Washington,2020-02-11,17,0
Washington,2020-02-10,16,0
Washington,2020-02-09,13,0
Washington,2020-02-08,13,0
Washington,2020-02-07,12,0
Washington,2020-02-06,11,0
Washington,2020-02-05,8,0
Washington,2020-02-04,8,0
Washington,2020-02-03,7,0
Washington,2020-02-02,6,0
Washington,2020-02-01,4,0
Washington,2020-01-31,3,0
Washington,2020-01-30,3,0
Washington,2020-01-29,3,0
Washington,2020-01-28,2,0
Washington,2020-01-27,2,0
Washington,2020-01-26,2,0
Washington,2020-01-25,2,0
Washington,2020-01-24,2,0
Washington,2020-01-23,2,0
Washington,2020-01-22,2,0
